ID,主题,博文,日期,URL,点赞数,评论数,转发数
4514201807459614,,卧槽！英雄回城还能这么玩？--换行--塞纳：卢锡安你玩的挺花的啊！ http://t.cn/A62kOtpv ​​​,06-10,https://m.weibo.cn/status/4514201807459614?mblogid=4514201807459614&luicode=10000011&lfid=102803,330,121,46
4510701337285796,-快乐大本营,看完鬓边后发现檀健次竟然是mic的 于是打开了音乐软件 这次真的是你不对这首歌当时听了一遍之后就一直在听 后来想起旋律想不起来歌名 今天一听卧槽终于想起来了 舒爽[微笑]--换行--MIC男团这个有些年代感的名字同时期还有hit-5和昆虫组合 然后又发现雪之城竟然是昆虫组合的蝴蝶王子（别问我为什么这么叫 上快乐大本营他自己介绍的）印象很深刻的是他讲述自己追一个女孩子 女孩儿最后要告诉他答案了 他说不要讲出来 要享受过程....哈哈哈哈哈哈--换行--这么说起来 当年的快乐大本营就相当于现在新人团体的showcase舞台了吧... 中国那个时候的团体偶像还都挺能打的 要是多花点功夫费点心思的话可能我追星时代追的就是内娱爱豆了[喵喵],2020/5/31 17:48:23,https://m.weibo.cn/status/J4uoduzmQ?mblogid=J4uoduzmQ&luicode=10000011&lfid=100103type%3D2%26q%3D%E5%BF%AB%E4%B9%90%E5%A4%A7%E6%9C%AC%E8%90%A5,0,0,0
4510945345618777,##美抗议者遭卡车拖拽碾压身亡##,【#提问#】有一种观点认为，#明州暴乱反助特朗普选情#，因为过度炒作“反种族歧视”，也会反而刺激#美国#白人和亚裔选民反抗逆向种族歧视。对此，你怎么看？#美国华盛顿全市宵禁##美抗议者遭卡车拖拽碾压身亡##全美超40城宵禁##马丁路德金女儿就抗议发声# 大公報-大公網的微博投票 ,2020/6/1 9:58:15,https://m.weibo.cn/status/J4AJMnzHr?mblogid=J4AJMnzHr&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E6%8A%97%E8%AE%AE%E8%80%85%E9%81%AD%E5%8D%A1%E8%BD%A6%E6%8B%96%E6%8B%BD%E7%A2%BE%E5%8E%8B%E8%BA%AB%E4%BA%A1%23,697,14,2
4510030159853426,##美国暴乱##,#直击明尼苏达州骚乱现场#【打砸抢、烧国旗，美国白人警察致死黑人引发骚乱】5月28日，美国明尼苏达州进入紧急状态，并启用该州国民警卫队协助维护治安。目前，由白人警察致黑人死亡而引发的骚乱，导致明尼阿波利斯市部分商店，警察局遭人纵火。#美国暴乱#  澎湃新闻的微博视频 . ,05-29,https://m.weibo.cn/status/J4cVFFlke?mblogid=J4cVFFlke&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9A%B4%E4%B9%B1%23,120225,2646,2045
4510919751527674,##美国暴乱##,【黑客团体“匿名者Anonymous” 发表视频 揭露法庭文件指控特朗普性侵13岁女孩 英国王室谋杀戴安娜王妃等诸多黑料】匿名者#Anonymous#在28日推特上谴责明尼阿波利斯警察局MPD，称将把其的许多罪行暴露于世。声称杀害乔治·弗洛伊德“仅仅是冰山一角”。--换行----换行--目前“匿名者Anonymous”在推特上是热搜第二，第一是“抗议2020”。在“匿名组织Anonymous” 发布视频后，网友总结发生了几件事：--换行----换行--1. 明尼阿波利斯警察局MPD的网站已在30日下线，问题持续了一整夜。 21号访问该网站时，会要求用户填写验证码，以确保他们不是编排DDoS攻击的自动机器人；--换行----换行--2. 入侵了芝加哥PD电台，广播“fuck the police”；--换行----换行--3. 揭露法庭文件显示，特朗普、爱泼斯坦被控贩卖儿童进行性交易，文件显示特朗普被控强奸13岁女孩。文件链接：http://t.cn/A62Krz7O--换行----换行--4. 揭露英国皇室谋杀戴安娜王妃，因为她有证据表明他们卷入了性交易链条。--换行----换行--以上为推特热搜话题“匿名者Anonymous”相关的网络内容的总结，没有其他调查或证据证实以上内容的真实性。很多网友发推称，推特一直在删除同Anonymous有关的帖。（@凤凰王又又）--换行-- #数十个美国城市爆发示威##美国暴乱# http://t.cn/A629lTwK,2020/6/1 8:46:17,https://m.weibo.cn/status/J4A4v6ppU?mblogid=J4A4v6ppU&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9A%B4%E4%B9%B1%23,147697,7728,10686
4510945801938255,##美国暴乱##,#美国暴乱##美国示威已席卷22个州32个城市#美国白人警察暴力执法将下跪黑人女孩推倒，被自己的同事一位黑人女警官怒诉#双击666# 寰亚SYHP的微博视频 ,2020/6/1 9:59:18,https://m.weibo.cn/status/J4AKw88eb?mblogid=J4AKw88eb&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9A%B4%E4%B9%B1%23,469,110,51
4510953167825146,##美国暴乱##,#美抗议者遭卡车拖拽碾压身亡##美国暴乱##老铁说事# 黑人被白人警察压死还没解决又出现示威民众被压身亡，暴力执法在延续，美国政府在演戏。 老铁说股ing的微博投票 ,2020/6/1 10:29:19,https://m.weibo.cn/status/J4AWowPG2?mblogid=J4AWowPG2&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9A%B4%E4%B9%B1%23,66,6,0
4510943041926365,##美国暴乱##,#美国暴乱# 只有人民才是国家的主人，支持美国人民争取平等自由的权利！ ,2020/6/1 9:48:20,https://m.weibo.cn/status/J4AG4858p?mblogid=J4AG4858p&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9A%B4%E4%B9%B1%23,183,47,10
4510957232260676,##美国暴乱##,美丽的风景线，发生在香港的一幕在美国重现，美国国旗被示威者扔到了河里#美国暴乱##美国大骚乱##微风看世界# mj微风的微博视频 ,2020/6/1 10:45:21,https://m.weibo.cn/status/J4B2X9u6w?mblogid=J4B2X9u6w&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9A%B4%E4%B9%B1%23,0,0,0
4510957075893208,##美国暴乱##,崔佛这个视频屁股歪到天际了，而且水平很高，典型的小骂大帮忙。鼓吹暴动，就是想让反抗的正义性完全丧失。美国那是阶级矛盾，硬生生被他往种族矛盾上带。为后面美国出兵对内镇压的合理性推波助澜。这事只有中国人看得明白，因为我们经历过无产阶级文化大文革的失败，原因就是西纠。🌾#美国暴乱#,2020/6/1 10:44:21,https://m.weibo.cn/status/J4B2HoJ5K?mblogid=J4B2HoJ5K&luicode=10000011&lfid=231522type%3D1%26t%3D10%26q%3D%23%E7%BE%8E%E5%9B%BD%E6%9A%B4%E4%B9%B1%23,0,0,0
