ID,主题,博文,日期,URL,点赞数,评论数,转发数
4509496468630213,##每天都是无烟日##,【莫让烟草毁青春， #每天都是无烟日#】烟草带来的危害是当今世界最严重的公共卫生问题之一，控烟行动，从你我做起。在5月31日第33个世界无烟日来临之际，和微博一起来控烟！快打开你的小脑洞，唤醒你心中的小野兽，大胆创作控烟口号！即日起，带话题#每天都是无烟日#分享你的创意，超多惊喜等你来~@中国健康教育官方微博,05-28,https://m.weibo.cn/status/J3Z2SAd6Z?mblogid=J3Z2SAd6Z&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,261,50,557
4510597477590348,##每天都是无烟日##,【正在直播：你知道烟草与肺癌的关系吗？】我国每年死于吸烟相关疾病的人数高达140万，其中98%小细胞肺癌与吸烟或二手烟暴露有关。为了大家的健康，让我们勇敢向烟草说不！“无烟为明天，#99招拒绝二手烟#”挑战赛正式启动，快来秀出你的拒烟态度！#每天都是无烟日# 健康中国的微博视频 . ,2020/5/31 11:45:17,https://m.weibo.cn/status/J4rGHvQAY?mblogid=J4rGHvQAY&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,99,30,111
4509656317891619,##每天都是无烟日##,【#李兰娟称吸烟者感染后变重症的风险更大#】据李兰娟、王辰等专家介绍，在感染新冠肺炎的治疗中发现，吸烟者发展为重症危重症的风险会增加。专家胡大一表示，戒烟和公众场所严控二手烟，可以最快减少心肌梗塞致死。世界无烟日来临之际，多名专家呼吁#听医生的话#，#每天都是无烟日#！支持请转！@世界卫生组织  http://t.cn/A62JC19M,05-28,https://m.weibo.cn/status/J43cHx6Yb?mblogid=J43cHx6Yb&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,71508,6770,6641
4509995381774460,##每天都是无烟日##,一人吸烟，更多人受害，烟草依赖带给家人和周围人的健康风险，远远超出我们的想像。让我们远离烟草，大声对二手烟说“不”！带话题词#每天都是无烟日# ，和我一起分享你的控烟创意宣传口号！ ,05-29,https://m.weibo.cn/status/J4c1A7rCk?mblogid=J4c1A7rCk&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,12721,8611,8564
4510654897138843,##每天都是无烟日##,#每天都是无烟日# 蓝朋友的警告：吸烟不仅有害健康，一不小心还会引发火灾，后果严重,2020/5/31 14:43:20,https://m.weibo.cn/status/J4tbjtX8D?mblogid=J4tbjtX8D&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,0,0,0
4510654096816549,##每天都是无烟日##,#每天都是无烟日# 抽烟喝酒加速刺激出来的癌症——口腔癌。好在口腔癌是可以有效预防的，听听医生你该怎么做。 北京清华长庚医院的微博视频 ,2020/5/31 14:40:21,https://m.weibo.cn/status/J4ta1sBil?mblogid=J4ta1sBil&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,1,0,0
4510653828037217,##每天都是无烟日##,#每天都是无烟日#健康最重要！35岁女子10年间吃了30多种减肥药！医生：最多活十年！#和女明星抢液体卫生巾#大部分的减肥药里面含有对身体有害的物质，非但不能减肥，同时也会伤害到了身体。#生活不燃怎样#  薇薇的杂货店的微博视频 ,2020/5/31 14:39:21,https://m.weibo.cn/status/J4t9AxIQx?mblogid=J4t9AxIQx&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,1,0,0
4510653744468116,##每天都是无烟日##,【莫让烟草毁青春， #每天都是无烟日#】烟草带来的危害是当今世界最严重的公共卫生问题之一，控烟行动，从你我做起。在5月31日第33个世界无烟日来临之际，和微博一起来控烟！快打开你的小脑洞，唤醒你心中的小野兽，大胆创作控烟口号！即日起，带话题#每天都是无烟日#分享你的创意，超多惊喜等你来~@中国健康教育官方微博,2020/5/31 14:39:21,https://m.weibo.cn/status/J4t9siKmo?mblogid=J4t9siKmo&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,0,0,0
4510608773560249,##每天都是无烟日##,#每天都是无烟日# 远离烟草，远离危害。远离因吸烟酿成的火灾。,2020/5/31 11:45:21,https://m.weibo.cn/status/J4rYVeWbn?mblogid=J4rYVeWbn&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,75,12,31
4510591186893748,##每天都是无烟日##,#每天都是无烟日#一人吸烟，更多人受害，烟草依赖带给家人和周围人的健康风险，远远超出我们的想像。让我们远离烟草，大声对二手烟说“不”！，不吸烟，为明天。 ,2020/5/31 10:45:22,https://m.weibo.cn/status/J4rwysVnu?mblogid=J4rwysVnu&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,27,13,47
4510653342528390,##每天都是无烟日##,#世界无烟日#触目惊心，吸烟人的肺！我的朋友你还不戒烟么？无锡陈静瑜院长团队获取的脑死亡爱心捐献供肺，近30年烟龄。我国许多烟民的肺都会如此，经过讨论最终决定弃用这个污染严重、功能受损的肺。看了这肺，你还有抽烟的勇气吗？转给身边抽烟的人🚬#每天都是无烟日#协和心血管博士的微博视频 ,2020/5/31 14:37:23,https://m.weibo.cn/status/J4t8OaBKu?mblogid=J4t8OaBKu&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E6%AF%8F%E5%A4%A9%E9%83%BD%E6%98%AF%E6%97%A0%E7%83%9F%E6%97%A5%23,0,0,0
4510399615968477,##赵小棠的家##,#赵小棠妈妈也太年轻了# #赵小棠的家# @青春有你2-赵小棠 家里装修也太好看了吧！看得出来赵小棠家境优越，养成了她这样有话直说的直爽性格还有这样高颜值又年轻的妈妈和可爱的弟弟，谁不羡慕呢#青春有你2总决赛# ,2020/5/30 22:45:24,https://m.weibo.cn/status/J4mxzp2FL?mblogid=J4mxzp2FL&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,707500,11631,3147
4510621457092841,##赵小棠的家##,#赵小棠的家#境有多优越？看她妈妈弟弟穿的衣服，不是一般家庭。 ,2020/5/31 12:45:25,https://m.weibo.cn/status/J4sjntLaF?mblogid=J4sjntLaF&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,128846,3977,678
4510647373208095,##赵小棠的家##,#赵小棠的家# 昨晚看到的是赵小棠有个年轻的妈妈和可爱的弟弟，今天看到的是赵小棠的家好豪，又羡慕了，你们都是带慢速放大镜看的吗豪气又豪爽的棠姐既然藏不住了，那就都多康康接下来成团后的表现吧 ,2020/5/31 14:13:26,https://m.weibo.cn/status/J4sZbdszt?mblogid=J4sZbdszt&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,3940,656,327
4510655295685679,##赵小棠的家##,#虞书欣澄清甩开刘雨昕的手# 妹妹都是好妹妹，但是总有人过分解读，关系如何只有人家两个人知道，就不要过多讨论了，多多关注作品吧   #赵小棠的家# 哇看着很豪华 赵小棠真的人美钱多，但是也不用太关注别人的私生活。  ,2020/5/31 14:45:27,https://m.weibo.cn/status/J4tbXnR6v?mblogid=J4tbXnR6v&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,0,0,0
4510655287448551,##赵小棠的家##,#赵小棠的家#妈妈上热搜后，家也上热搜了，期待成团后的表现！ ,2020/5/31 14:45:27,https://m.weibo.cn/status/J4tbWvfHV?mblogid=J4tbWvfHV&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,2,0,0
4510655262923863,##赵小棠的家##,#虞书欣澄清甩开刘雨昕的手# 欣欣子你也太可爱了吧哈哈哈哈哈会给自己反黑澄清的爱豆让人很放心#赵小棠的家# 哇看着很豪华 ,2020/5/31 14:45:27,https://m.weibo.cn/status/J4tbUcgD5?mblogid=J4tbUcgD5&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,0,0,0
4510655217245762,##赵小棠的家##,#赵小棠的家#羡慕了#青春有你# ,2020/5/31 14:45:27,https://m.weibo.cn/status/J4tbPuoX8?mblogid=J4tbPuoX8&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,0,0,0
4510655203629152,##赵小棠的家##,#赵小棠的家#妈妈很年轻，弟弟很可爱 深圳 ,2020/5/31 14:45:27,https://m.weibo.cn/status/J4tbOfe6I?mblogid=J4tbOfe6I&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,0,0,0
4510655196205878,##赵小棠的家##,坚强药三分，毅力做主引，经验是药罐，教训控火温，熬就疗伤药，失败后再饮，药激信心增，驱散失败云，心伤立刻好，再将苦难迎。#赵小棠的家# ,2020/5/31 14:44:28,https://m.weibo.cn/status/J4tbNq2qO?mblogid=J4tbNq2qO&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,0,0,0
4510655183599039,##赵小棠的家##,#赵小棠的家# 赵小棠真的人美钱多，但是也不用太关注别人的私生活。  ,2020/5/31 14:44:28,https://m.weibo.cn/status/J4tbMf6h1?mblogid=J4tbMf6h1&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,0,0,0
4510655183014301,##赵小棠的家##,#赵小棠的家#…天啦噜，这也太有钱了吧？看起来就不是我能拥有的水平，拽是有资本的（此资本非彼资本） ,2020/5/31 14:44:28,https://m.weibo.cn/status/J4tbMcE9L?mblogid=J4tbMcE9L&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23%E8%B5%B5%E5%B0%8F%E6%A3%A0%E7%9A%84%E5%AE%B6%23,0,0,0
4510360914233005,##CNN主持人评白人警察执法致黑人死亡##,【#CNN主持人评白人警察执法致黑人死亡#：美国正在上演双城记】#CNN主持人6分钟长评美国种族不平等# 近日，美国CNN主持人克里斯·科莫对明尼苏达州黑人男子被白人警察暴力执法致死事件做出评论，称“美国正在上演双城记，一边是少数群体，一边是多数人”。科莫描述了两个群体的生活：过去三个月，美国黑人等少数群体感染新冠和死亡人数高于白人，他们被裁员的速度越来越快，政府小额商业贷款申请通过率也高低悬殊……“少数群体的抗议，不仅仅因为这一件事，而是因为更多没有起诉的案子，没有被人看到拍下来的事件，起诉错的案件以及对他们过于严厉的惩罚，因为长期以来在诸多方面感到的不安和恐惧。”科莫认为，问题的根源在于，必须意识到少数和多数群体要联合起来，否则不可能看到最好的美国。@中报视频 http://t.cn/A62SJoO4,2020/5/30 19:45:30,https://m.weibo.cn/status/J4lx9hLch?mblogid=J4lx9hLch&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23CNN%E4%B8%BB%E6%8C%81%E4%BA%BA%E8%AF%84%E7%99%BD%E4%BA%BA%E8%AD%A6%E5%AF%9F%E6%89%A7%E6%B3%95%E8%87%B4%E9%BB%91%E4%BA%BA%E6%AD%BB%E4%BA%A1%23,16503,1010,1343
4510645254977517,##CNN主持人评白人警察执法致黑人死亡##,#CNN主持人评白人警察执法致黑人死亡#Chicago ， the USA ，三名落单警察遭抗议者围殴！ henryhunter的微博视频 ,2020/5/31 14:05:31,https://m.weibo.cn/status/J4sVLkSSx?mblogid=J4sVLkSSx&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23CNN%E4%B8%BB%E6%8C%81%E4%BA%BA%E8%AF%84%E7%99%BD%E4%BA%BA%E8%AD%A6%E5%AF%9F%E6%89%A7%E6%B3%95%E8%87%B4%E9%BB%91%E4%BA%BA%E6%AD%BB%E4%BA%A1%23,2221,335,69
4510651685304631,##CNN主持人评白人警察执法致黑人死亡##,#CNN主持人评白人警察执法致黑人死亡#暴力致死黑人事件一直存在， 美国政府一直也无视这个问题，白人觉得自己高人一等，根子烂了，种族问题将越演越烈。 陈文诸葛y的微博视频 ,2020/5/31 14:30:32,https://m.weibo.cn/status/J4t68mfYz?mblogid=J4t68mfYz&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23CNN%E4%B8%BB%E6%8C%81%E4%BA%BA%E8%AF%84%E7%99%BD%E4%BA%BA%E8%AD%A6%E5%AF%9F%E6%89%A7%E6%B3%95%E8%87%B4%E9%BB%91%E4%BA%BA%E6%AD%BB%E4%BA%A1%23,143,30,44
4510655430889922,##CNN主持人评白人警察执法致黑人死亡##,#6月起骑摩托车不戴头盔等要被严查#   安全第一 #CNN主持人评白人警察执法致黑人死亡#  这个导火索激起了内部矛盾种族歧视等 再次感慨一下，生在中国好呀  ,2020/5/31 14:45:33,https://m.weibo.cn/status/J4tcb3JvA?mblogid=J4tcb3JvA&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23CNN%E4%B8%BB%E6%8C%81%E4%BA%BA%E8%AF%84%E7%99%BD%E4%BA%BA%E8%AD%A6%E5%AF%9F%E6%89%A7%E6%B3%95%E8%87%B4%E9%BB%91%E4%BA%BA%E6%AD%BB%E4%BA%A1%23,0,0,0
4510655409407060,##CNN主持人评白人警察执法致黑人死亡##,#CNN主持人评白人警察执法致黑人死亡#新冠就是个导火索，这个导火索激起了内部矛盾种族歧视等，白人事件就是个爆破点，还是生在中国好！ ,2020/5/31 14:45:33,https://m.weibo.cn/status/J4tc8DtcM?mblogid=J4tc8DtcM&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%23CNN%E4%B8%BB%E6%8C%81%E4%BA%BA%E8%AF%84%E7%99%BD%E4%BA%BA%E8%AD%A6%E5%AF%9F%E6%89%A7%E6%B3%95%E8%87%B4%E9%BB%91%E4%BA%BA%E6%AD%BB%E4%BA%A1%23,0,0,0
